"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",2,0,0,1,0,0,0,0,2,0
"139",0,1,0,0,0,0,0,0,0,0
"140",0,3,0,2,0,0,1,0,2,3
"141",0,0,0,3,0,0,0,2,1,1
"142",0,0,0,0,0,0,0,0,0,0
"143",0,0,0,0,1,0,0,0,0,2
"144",0,1,0,2,0,1,0,0,2,0
"145",0,0,0,1,0,0,0,0,0,0
"146",1,1,0,1,1,0,1,1,1,3
"147",0,0,0,0,0,0,0,0,0,0
"148",2,0,0,2,0,0,0,0,2,1
"149",0,0,0,0,0,0,1,1,0,3
"150",0,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,1
"152",1,1,0,0,0,0,1,0,0,0
"153",0,0,0,0,0,0,0,1,0,1
"154",0,0,0,1,0,1,0,1,2,1
"155",1,0,0,2,0,0,0,1,2,1
"156",2,3,0,1,3,2,2,3,2,4
"157",0,1,0,1,0,1,0,0,1,1
"158",0,0,0,1,0,0,0,0,0,1
"159",0,0,0,1,0,1,0,1,1,0
"160",2,2,0,0,1,0,1,1,1,3
"161",0,0,0,0,0,0,0,0,0,0
"162",0,0,0,1,0,1,0,0,1,0
"163",0,0,0,0,0,0,0,0,0,1
"164",1,0,1,1,0,1,0,0,1,2
"165",0,0,0,0,0,0,0,0,0,0
"166",1,3,0,2,1,1,1,1,2,1
"167",0,1,0,1,1,1,1,0,0,2
"168",0,0,0,0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0,1,0,1
"173",0,0,0,0,1,0,0,1,0,2
"174",1,0,0,0,1,1,0,2,2,2
"175",0,2,0,0,2,0,1,2,0,2
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,1,0,1
"178",0,2,0,1,3,0,1,4,1,3
"179",0,0,0,0,0,0,0,0,0,0
"180",1,1,1,2,0,2,1,2,2,0
"181",0,0,0,0,0,0,0,0,0,1
"182",1,2,1,1,0,1,1,0,2,0
"183",1,1,1,3,0,3,1,1,4,2
"184",0,0,0,0,0,0,0,0,0,1
"185",0,1,0,0,1,0,1,1,0,3
"186",0,1,0,0,2,0,0,2,0,4
"187",0,1,0,0,2,0,0,1,0,4
"188",1,0,0,2,0,0,0,1,1,2
"189",1,0,0,1,0,1,0,1,1,1
"190",0,1,1,1,0,1,0,0,3,0
"191",0,0,0,0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0,0,0,0
"193",0,0,0,1,0,1,0,3,1,0
"194",1,1,0,1,1,0,1,1,1,1
"195",1,0,0,1,0,0,0,0,1,0
"196",1,1,0,2,0,0,0,0,2,0
"197",0,1,0,2,0,0,0,1,3,1
"198",0,0,0,0,0,0,0,0,0,0
"199",0,0,0,1,0,0,0,0,1,0
"200",0,1,0,1,1,1,1,1,1,2
"201",0,0,0,0,0,0,0,0,0,0
"202",0,0,1,1,0,0,0,1,1,2
"203",0,0,0,0,0,0,0,0,0,0
"204",4,0,4,3,0,2,0,0,4,0
"205",0,0,0,1,0,1,0,0,1,0
"206",0,1,0,1,1,0,0,1,0,2
"207",0,0,0,0,0,0,0,0,0,0
"208",0,0,0,1,0,0,0,1,0,2
"209",0,1,0,2,0,0,1,1,2,3
"210",2,2,1,1,2,2,2,2,2,4
"211",3,0,2,3,0,2,0,1,4,1
"212",0,1,0,0,2,1,0,2,0,2
"213",1,0,0,0,0,1,0,0,1,0
"214",0,0,0,0,0,0,0,1,0,1
"215",0,2,0,0,3,0,1,6,1,8
"216",0,1,0,1,0,0,0,1,0,0
"217",0,0,0,0,0,0,0,1,0,0
"218",0,0,0,0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0,0,1,0
"220",0,1,0,0,0,0,1,1,0,1
"221",0,0,0,0,0,1,0,0,0,0
"222",1,0,0,0,0,0,0,0,1,1
"223",0,0,1,1,0,0,0,1,1,3
"224",0,0,0,0,0,0,0,0,0,0
"225",0,0,0,1,0,2,0,2,3,1
"226",0,1,0,0,1,0,0,2,0,3
"227",0,1,0,1,0,0,0,0,0,0
"228",1,1,0,1,0,1,0,1,1,1
"229",0,0,0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,0,0,1
"231",0,0,0,0,0,0,0,0,0,0
"232",1,0,0,1,0,0,0,0,1,1
"233",0,0,0,0,0,0,0,0,0,0
"234",2,0,0,1,0,0,0,1,3,0
"235",0,1,1,2,0,0,0,0,1,0
"236",0,0,0,0,0,0,0,0,1,1
"237",0,0,0,0,0,0,0,0,0,1
"238",0,0,1,1,0,0,0,1,1,2
"239",0,1,0,0,1,0,1,2,1,2
"240",0,0,0,0,0,0,1,0,1,1
"241",0,1,0,2,0,0,1,0,2,0
"242",0,0,0,1,0,1,0,0,1,0
"243",0,0,0,2,0,1,1,0,2,0
"244",1,0,0,4,0,3,1,0,5,0
"245",0,0,0,0,0,0,0,1,0,1
"246",0,0,0,0,0,0,0,0,0,0
