"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"475",1,1,0,0,0,0,0,0,1,2
"476",1,1,0,1,1,0,0,1,0,2
"477",1,0,0,1,1,0,0,2,1,3
"478",0,1,0,0,0,0,0,0,0,0
"479",0,1,0,1,1,1,1,1,1,1
"480",1,1,0,0,1,0,1,1,0,1
"481",0,0,0,0,0,0,0,0,0,0
"482",1,1,0,1,1,0,0,1,0,2
"483",0,0,0,0,0,1,0,1,1,1
"484",0,1,0,0,0,0,0,0,0,0
"485",2,1,0,0,1,0,1,1,1,1
"486",1,0,1,1,0,0,0,0,1,0
"487",0,0,0,0,0,0,0,2,0,1
"488",2,0,1,2,0,0,0,0,2,0
"489",0,0,0,1,0,1,0,0,1,0
"490",0,0,0,0,0,0,0,0,0,0
"491",0,2,0,2,0,1,0,0,3,1
"492",1,1,0,0,1,0,1,1,0,1
"493",2,2,0,2,2,1,2,3,2,2
"494",3,2,0,1,2,0,1,3,1,2
"495",1,1,0,1,1,0,0,1,0,2
"496",2,2,0,2,2,1,2,3,2,2
"497",2,3,1,1,3,0,2,3,0,4
"498",1,1,0,0,1,0,1,2,0,1
"499",0,0,0,0,0,0,0,0,0,1
"500",1,2,0,0,3,0,1,2,0,3
"501",0,0,0,0,0,0,0,1,0,2
"502",1,1,0,0,1,1,1,2,1,3
"503",1,1,1,0,0,0,0,0,1,0
"504",2,1,2,2,1,1,2,0,3,1
"505",1,1,0,1,1,0,0,1,0,2
"506",2,1,2,2,1,1,2,0,3,1
"507",2,2,0,1,2,0,1,3,1,2
"508",2,1,1,1,2,1,1,3,1,3
"509",3,2,0,1,2,0,1,3,1,2
"510",3,2,0,1,2,0,1,3,1,2
"511",1,1,0,1,1,0,0,1,0,2
"512",3,0,5,3,0,4,0,1,7,2
"513",1,1,0,0,1,0,1,2,0,1
"514",2,1,1,1,2,1,1,3,1,3
"515",2,2,1,2,1,1,1,1,2,1
"516",0,0,0,1,0,1,0,0,1,0
"517",3,1,1,2,1,1,2,2,3,3
"518",1,1,0,3,0,1,1,1,2,0
"519",0,1,0,0,0,0,0,0,0,0
"520",0,2,0,2,0,1,0,0,3,1
"521",1,2,0,1,2,2,2,1,1,3
"522",1,1,0,0,1,1,1,2,1,3
"523",2,2,1,2,3,1,1,3,1,3
"524",2,2,0,1,2,0,1,3,1,2
"525",2,2,2,1,1,0,1,2,2,2
"526",0,0,0,0,0,0,0,0,0,0
"527",0,0,0,0,0,0,0,1,1,0
"528",0,1,0,0,0,0,0,0,0,0
"529",0,0,0,1,0,0,0,1,0,3
"530",1,2,0,1,2,0,0,4,0,3
"531",0,1,0,1,1,1,1,1,1,1
"532",2,1,1,1,0,1,0,1,3,2
"533",1,1,0,0,1,1,1,2,1,3
"534",2,1,0,0,1,0,1,1,1,1
"535",2,1,1,1,0,1,0,1,3,2
"536",1,2,0,0,2,0,2,2,0,4
"537",2,2,0,1,2,0,1,3,1,2
"538",2,0,1,3,0,4,0,0,5,0
"539",1,0,0,0,0,0,0,2,0,3
"540",1,1,0,1,1,0,0,1,0,2
"541",1,1,0,1,1,0,0,1,0,2
"542",3,2,0,1,2,0,1,3,1,2
"543",1,0,0,1,0,1,0,3,2,1
"544",1,1,0,0,1,1,1,2,1,3
"545",3,1,1,0,1,0,1,3,3,3
"546",2,1,1,1,0,1,0,1,3,2
"547",1,2,0,1,1,0,1,3,0,2
"548",1,1,0,0,1,1,1,2,1,3
"549",2,2,2,1,1,0,2,1,4,2
"550",0,0,0,1,0,1,0,1,3,0
"551",0,0,0,0,0,0,0,1,0,1
"552",1,2,0,1,2,2,2,1,1,3
"553",2,3,1,1,3,0,2,3,0,4
"554",3,0,5,3,0,4,0,1,7,2
"555",2,2,0,1,2,0,1,3,1,2
"556",0,0,0,0,0,0,0,1,0,2
"557",0,0,0,0,0,1,1,0,1,0
"558",1,1,0,1,0,0,0,1,0,4
"559",1,1,0,0,1,0,1,3,0,1
"560",2,1,1,1,2,1,1,3,1,3
"561",2,1,1,1,1,0,1,2,1,2
"562",5,1,2,2,1,2,1,1,6,1
"563",2,0,1,2,1,1,0,3,2,4
"564",0,0,0,1,0,1,0,0,1,0
"565",1,1,0,0,1,1,1,2,1,3
"566",1,1,0,0,1,0,1,1,0,1
"567",2,1,1,1,1,0,1,2,1,2
"568",1,1,0,1,1,0,0,1,0,2
"569",1,1,0,0,1,0,1,3,0,2
"570",2,1,0,0,1,0,1,1,1,1
"571",1,1,0,0,1,1,1,2,1,3
"572",0,0,1,1,0,1,0,0,3,1
"573",0,1,0,0,0,0,0,1,0,1
"574",3,2,0,1,2,0,1,3,1,2
"575",1,1,0,0,1,0,2,2,1,2
"576",0,0,0,0,0,0,0,0,0,0
"577",2,0,1,3,0,4,0,0,5,0
"578",0,0,0,0,0,0,0,3,0,2
"579",2,2,2,1,1,0,2,1,4,2
"580",0,0,0,0,0,0,0,0,0,0
"581",1,0,0,2,0,1,0,2,1,3
"582",0,0,0,0,0,0,1,1,0,1
"583",1,0,0,0,0,0,0,1,0,2
"584",0,0,0,0,0,0,0,0,0,0
"585",1,0,1,0,0,0,0,0,1,0
"586",0,0,0,1,2,0,1,2,0,2
"587",1,1,0,0,1,0,1,3,0,1
"588",0,0,0,0,0,0,0,0,0,0
"589",1,1,1,0,0,0,0,0,1,0
"590",0,0,0,0,0,0,0,2,1,0
"591",2,0,1,2,0,0,0,0,2,0
"592",1,1,0,1,1,0,0,1,0,2
"593",1,0,1,1,0,0,0,2,1,2
"594",0,0,0,1,0,1,0,0,1,0
"595",0,0,0,0,0,0,0,0,0,0
"596",1,1,0,0,1,0,1,1,0,2
"597",1,1,0,0,1,0,1,1,0,1
"598",0,0,0,0,0,0,0,1,0,0
"599",1,1,0,0,1,0,1,1,0,2
"600",1,1,0,1,1,0,0,1,0,2
"601",2,1,2,2,1,1,2,0,3,1
"602",0,2,0,2,0,1,0,0,3,1
"603",2,2,0,1,2,0,1,3,1,2
"604",1,1,0,0,1,0,1,1,0,2
"605",2,0,1,2,0,0,0,0,2,0
"606",0,0,0,0,0,0,0,0,0,0
