"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",0,0,0,0,0,0,0,0,0,0
"139",2,1,0,2,0,2,0,0,2,1
"140",0,1,1,2,0,1,0,1,3,3
"141",1,1,1,2,0,1,2,3,2,2
"142",1,0,1,0,0,0,0,0,1,0
"143",1,3,0,2,2,2,1,5,3,5
"144",0,0,0,0,0,0,0,1,0,2
"145",0,2,0,0,1,0,0,3,0,4
"146",1,1,1,2,0,0,0,0,1,1
"147",0,0,1,2,0,2,1,3,3,2
"148",1,2,0,1,0,1,0,1,2,2
"149",2,1,1,2,0,2,1,1,2,1
"150",0,1,2,1,0,0,0,1,2,1
"151",0,0,0,0,0,0,0,0,0,0
"152",0,0,1,3,0,1,0,0,2,1
"153",1,0,0,1,0,1,0,1,1,1
"154",0,1,0,0,0,0,0,0,0,0
"155",0,1,2,1,0,0,0,1,2,1
"156",1,0,1,1,0,1,0,0,2,1
"157",0,0,1,0,0,1,0,0,2,1
"158",0,0,0,1,0,2,0,1,3,2
"159",2,0,0,2,0,1,0,0,2,0
"160",1,0,1,0,0,0,0,0,1,0
"161",0,0,0,0,0,0,0,0,0,2
"162",0,0,0,0,0,1,0,0,2,0
"163",0,0,0,0,0,0,0,0,0,1
"164",0,0,0,0,0,0,0,0,0,1
"165",0,0,0,1,0,1,0,1,1,0
"166",0,0,0,0,0,0,0,1,0,1
"167",2,1,1,2,0,2,0,3,2,3
"168",0,0,0,0,0,0,0,2,0,3
"169",0,1,0,1,0,0,0,2,1,2
"170",2,0,1,1,0,0,1,0,2,0
"171",1,1,0,1,0,0,0,0,1,2
"172",0,0,0,0,0,0,0,1,0,1
"173",1,0,1,1,0,0,0,2,1,2
"174",0,1,0,0,0,0,0,0,1,3
"175",4,1,2,3,0,1,0,1,5,0
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,1
"178",1,0,1,1,0,0,0,2,1,2
"179",4,1,3,5,0,4,2,0,5,1
"180",1,0,1,1,0,0,0,2,1,2
"181",2,1,1,2,0,2,0,3,2,3
"182",1,0,2,1,0,0,0,1,4,1
"183",1,0,1,1,0,1,0,1,2,1
"184",0,0,0,0,0,0,0,0,0,1
"185",1,0,0,2,0,1,0,2,1,3
"186",0,1,0,1,0,0,0,2,1,2
"187",0,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,1,0,1
"190",2,1,0,1,0,0,0,0,1,1
"191",0,1,0,0,0,0,0,0,0,0
"192",1,0,0,1,0,1,0,0,1,0
"193",0,0,0,0,0,0,0,0,1,0
"194",0,0,0,0,0,0,0,0,1,0
"195",1,1,0,1,2,1,1,3,1,4
"196",0,0,0,1,0,0,0,0,1,0
"197",0,1,0,0,0,0,0,1,0,0
"198",1,0,0,1,0,1,0,1,1,0
"199",0,1,0,1,0,0,0,1,0,0
"200",0,0,0,0,0,0,0,0,0,2
"201",0,1,0,0,0,0,0,1,0,0
"202",0,0,0,0,0,0,0,0,0,1
"203",0,0,0,0,0,0,0,1,0,0
