"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"3763",1,0,0,1,0,0,0,0,0,0
"3764",0,0,0,0,0,0,0,0,0,0
"3765",0,0,0,0,0,0,0,0,1,0
"3766",0,0,0,0,0,0,0,0,0,0
"3767",0,1,0,0,1,0,0,1,0,1
"3768",0,0,0,0,0,0,0,0,0,0
"3769",0,2,0,0,0,0,0,1,0,2
"3770",0,0,0,0,0,0,0,0,1,0
"3771",0,0,0,0,0,0,0,1,0,1
"3772",0,1,0,0,1,1,0,2,1,4
"3773",0,0,0,0,0,0,0,1,0,1
"3774",0,1,0,0,1,0,1,1,0,1
"3775",0,1,0,1,0,0,0,0,2,1
"3776",0,0,0,0,0,0,0,0,0,0
"3777",0,0,0,0,0,0,0,0,1,0
"3778",0,1,0,0,0,0,0,1,0,2
"3779",0,0,0,0,0,0,0,0,1,0
"3780",0,0,0,0,0,0,0,0,0,0
"3781",0,0,0,0,0,0,0,0,1,0
"3782",0,0,0,0,0,0,0,0,1,0
"3783",0,0,0,0,0,0,0,0,1,0
"3784",0,0,0,0,0,0,0,0,1,0
"3785",0,0,0,0,0,0,0,0,1,0
"3786",0,0,0,0,0,0,0,0,1,0
"3787",0,0,0,0,0,0,0,0,1,0
"3788",0,0,0,0,0,0,0,0,1,0
"3789",0,0,0,0,0,0,0,0,1,0
"3790",0,1,0,0,0,0,0,1,0,2
"3791",0,1,0,0,0,0,0,0,2,0
"3792",0,0,0,0,0,0,0,0,1,0
"3793",0,0,0,0,0,0,0,0,1,0
"3794",0,0,0,0,0,0,0,0,1,0
"3795",0,0,0,0,0,0,0,0,1,0
"3796",0,1,0,0,0,0,0,1,0,2
"3797",0,0,0,0,0,0,0,0,1,0
"3798",0,0,0,0,0,0,0,0,1,0
"3799",0,0,0,0,0,0,0,0,1,0
"3800",0,0,0,1,0,0,0,0,0,0
"3801",1,2,1,1,1,1,0,1,1,1
"3802",0,0,0,0,0,0,0,0,1,0
"3803",0,0,0,0,0,0,0,0,1,0
"3804",0,2,0,0,2,1,0,1,1,4
"3805",0,0,1,1,0,1,0,0,1,1
"3806",0,0,0,0,0,0,0,0,1,0
"3807",0,1,0,0,1,0,1,1,0,1
"3808",0,0,0,0,0,0,0,0,1,0
"3809",0,0,0,0,0,0,0,0,1,0
"3810",0,0,0,0,0,0,0,0,1,0
"3811",0,2,0,0,2,0,1,2,0,3
"3812",1,0,1,0,0,0,0,0,1,0
"3813",0,0,0,0,0,0,0,0,0,0
"3814",0,0,0,0,0,0,0,0,0,0
"3815",1,0,0,0,0,0,0,0,1,1
"3816",0,0,0,0,0,0,0,0,0,0
"3817",0,0,0,0,0,0,0,0,1,0
"3818",0,0,0,0,0,0,0,0,1,0
"3819",0,0,0,0,0,0,0,0,0,2
"3820",0,0,0,0,0,0,0,0,1,0
"3821",0,0,0,0,0,0,0,0,0,0
"3822",0,0,0,0,0,0,0,0,0,1
"3823",0,1,0,0,1,0,1,1,0,1
"3824",0,1,0,0,1,0,1,1,0,1
"3825",0,1,0,0,1,0,1,1,0,1
"3826",0,0,0,0,0,0,0,0,1,0
"3827",0,0,0,0,0,0,0,0,1,0
"3828",1,0,0,1,0,0,0,0,1,1
"3829",0,1,0,0,1,0,1,1,0,1
"3830",0,0,0,0,0,0,0,0,1,0
"3831",0,0,0,0,0,1,1,0,1,0
"3832",0,0,0,0,0,0,0,0,0,0
"3833",0,1,0,0,0,1,0,0,1,0
"3834",0,0,0,0,0,0,0,0,0,0
"3835",0,0,0,0,0,0,0,0,1,0
"3836",0,0,0,0,0,0,0,0,0,0
"3837",0,0,0,0,0,0,0,0,1,0
"3838",0,0,0,0,0,0,0,0,0,0
"3839",0,0,0,0,0,0,0,0,1,0
"3840",0,0,0,0,0,0,0,0,1,0
"3841",0,0,0,0,0,0,0,0,1,0
